OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Recorming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
221,391,SUNCOR ENERGY (USA) INC,SUNCOR ENERGY INC,COMMERCE CITY WEST,Colorado,4,,25,21,,,10.9,,76.4,,13.2,EIA-820 Refinery Capacity Report,"As of January 1, 2023",39.8033,-104.9465,,-11682590.6066,4837401.0012
222,392,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,WESTLAKE,Louisiana,3,,125,51.6,,,48,34,277,65.2,6.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.2412,-93.2711,,-10382895.2539,3534593.6179
223,393,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,BILLINGS,Montana,4,,45.1,25,,,9.2,11.3,81.2,20,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",45.7806,-108.4901,,-12077067.4748,5745254.8668
224,394,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,PONCA CITY,Oklahoma,2,,89,76.9,,,49.3,17.6,242.7,27.4,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",36.6759,-97.0793,,-10806814.2351,4394032.609
225,434,PREMCOR REFINING GROUP INC,VALERO ENERGY CORP,PORT ARTHUR,Texas,3,,220,75,134.8,,58,19.5,339.1,103,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.8574,-93.9625,,-10459862.7744,3485228.9736
226,442,LION OIL CO,DELEK GROUP LTD,EL DORADO,Arkansas,3,,45,21,,,15.3,13,92.8,,20.5,EIA-820 Refinery Capacity Report,"As of January 1, 2023",33.1997,-92.6738,,-10316397.3316,3921845.0202
227,444,HOUSTON REFINING LP,ACCESS INDUSTRIES,HOUSTON,Texas,3,,196.5,110,,,,11.3,400.6,100.5,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",29.7016,-95.2518,,-10603377.5317,3465245.0455
228,461,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,NORTH POLE,Alaska,5,,,,,,,,,,3,EIA-820 Refinery Capacity Report,"As of January 1, 2023",64.8528,-147.7485,,-16447287.6742,9569694.2877
229,462,PETRO STAR INC,ARCTIC SLOPE REGIONAL CORP,VALDEZ,Alaska,5,,,,,,,,,,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",61.0819,-146.3818,,-16295143.2073,8644657.3263
230,465,CITGO PETROLEUM CORP,PDV AMERICA INC,LAKE CHARLES,Louisiana,3,,230,151,51.2,,118.2,56.1,410.5,110,,EIA-820 Refinery Capacity Report,"As of January 1, 2023",30.1812,-93.3326,,-10389737.0611,3526859.3946
